series_id,point_index,build_plate_temp_c,layer_thickness_um,laser_power_w,scan_speed_mm_s,cantilever_z_mm,sigma_x_mpa,point_role,source_pdf_x_pt,source_pdf_y_pt,reading_bound_z_mm,reading_bound_sigma_x_mpa,uncertainty_kind,digitization_method_id,digitized_evidence_id,source_pdf_evidence_id,source_pdf_sha256,source_page,source_figure,source_class
plate150_layer30_p250_v850,0,150,30,250,850,0.00,223.988751,surface,388.855377,176.281586,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,1,150,30,250,850,-0.01,259.663516,trace,391.252317,174.561641,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,2,150,30,250,850,-0.02,295.338282,trace,393.649257,172.841696,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,3,150,30,250,850,-0.03,331.013048,trace,396.046197,171.121752,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,4,150,30,250,850,-0.04,382.130422,trace,398.443137,168.657291,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,5,150,30,250,850,-0.05,433.353750,trace,400.840076,166.187722,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,6,150,30,250,850,-0.06,484.577079,trace,403.237016,163.718153,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,7,150,30,250,850,-0.07,516.854127,trace,405.633956,162.162019,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,8,150,30,250,850,-0.08,548.868896,trace,408.030896,160.618529,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
plate150_layer30_p250_v850,9,150,30,250,850,-0.09,580.883665,trace,410.427836,159.075039,0.02,50,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_piecewise_linear_v1,figure-8-digitized-curve,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,10,Figure 8b,figure_digitized
