series_id,point_index,build_plate_temp_c,layer_thickness_um,laser_power_w,scan_speed_mm_s,line_energy_density_j_per_mm,max_front_bending_um,bending_direction,source_pdf_x_pt,source_pdf_y_pt,reading_bound_bending_um,uncertainty_kind,digitization_method_id,digitized_evidence_id,source_pdf_evidence_id,source_pdf_sha256,source_page,source_figure,source_class
plate_temperature_fixed_p250_v850,0,20,30,250,850,0.294117647,14.571875,upward,220.128006,128.533020,0.3,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_v1,figure-9-digitized-bending,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,11,Figure 9a,figure_digitized
plate_temperature_fixed_p250_v850,1,50,30,250,850,0.294117647,14.463935,upward,223.608002,129.313019,0.3,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_v1,figure-9-digitized-bending,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,11,Figure 9a,figure_digitized
plate_temperature_fixed_p250_v850,2,150,30,250,850,0.294117647,13.982358,upward,235.008011,132.793015,0.3,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_v1,figure-9-digitized-bending,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,11,Figure 9a,figure_digitized
plate_temperature_fixed_p250_v850,3,300,30,250,850,0.294117647,13.127142,upward,252.288010,138.973022,0.3,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_v1,figure-9-digitized-bending,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,11,Figure 9a,figure_digitized
plate_temperature_fixed_p250_v850,4,450,30,250,850,0.294117647,12.047743,upward,269.507996,146.773026,0.3,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_v1,figure-9-digitized-bending,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,11,Figure 9a,figure_digitized
plate_temperature_fixed_p250_v850,5,600,30,250,850,0.294117647,10.528284,upward,286.727997,157.753021,0.3,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_v1,figure-9-digitized-bending,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,11,Figure 9a,figure_digitized
plate_temperature_fixed_p250_v850,6,750,30,250,850,0.294117647,8.668398,upward,304.007996,171.193024,0.3,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_v1,figure-9-digitized-bending,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,11,Figure 9a,figure_digitized
plate_temperature_fixed_p250_v850,7,900,30,250,850,0.294117647,6.127661,upward,321.227997,189.553024,0.3,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_v1,figure-9-digitized-bending,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,11,Figure 9a,figure_digitized
power_fixed_v850,0,150,30,100,850,0.117647059,15.491937,upward,433.007996,121.333008,0.3,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_v1,figure-9-digitized-bending,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,11,Figure 9b,figure_digitized
power_fixed_v850,1,150,30,150,850,0.176470588,15.017185,upward,447.287994,124.753006,0.3,absolute_symmetric_reading_bound,pdf_vector_axis_calibrated_v1,figure-9-digitized-bending,paper-pdf,8bf5e7c2f744a55b9c4e40bbe5f17a5cb6e1649d668132edc961ecb5c3d5e941,11,Figure 9b,figure_digitized
